I2C bus error. Verify the signal pullups.Start, hC0 [ h60 | WR ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, b01001001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, b01001001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop

I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.Start, b00010000 [ b0001000 | WR ] NAK, Stop
Start, b00010010 [ b0001001 | WR ] NAK, Stop
Start, b00010100 [ b0001010 | WR ] NAK, Stop
Start, b00010110 [ b0001011 | WR ] NAK, Stop
Start, b00011000 [ b0001100 | WR ] NAK, Stop
Start, b00011010 [ b0001101 | WR ] NAK, Stop
Start, b00011100 [ b0001110 | WR ] NAK, Stop
Start, b00011110 [ b0001111 | WR ] NAK, Stop
Start, b00100000 [ b0010000 | WR ] NAK, Stop
Start, b00100010 [ b0010001 | WR ] NAK, Stop
Start, b00100100 [ b0010010 | WR ] NAK, Stop
Start, b00100110 [ b0010011 | WR ] NAK, Stop
Start, b00101000 [ b0010100 | WR ] NAK, Stop
Start, b00101010 [ b0010101 | WR ] NAK, Stop
Start, b00101100 [ b0010110 | WR ] NAK, Stop
Start, b00101110 [ b0010111 | WR ] NAK, Stop
Start, b00110000 [ b0011000 | WR ] NAK, Stop
Start, b00110010 [ b0011001 | WR ] NAK, Stop
Start, b00110100 [ b0011010 | WR ] NAK, Stop
Start, b00110110 [ b0011011 | WR ] NAK, Stop
Start, b00111000 [ b0011100 | WR ] NAK, Stop
Start, b00111010 [ b0011101 | WR ] NAK, Stop
Start, b00111100 [ b0011110 | WR ] NAK, Stop
Start, b00111110 [ b0011111 | WR ] NAK, Stop
Start, b01000000 [ b0100000 | WR ] NAK, Stop
Start, b01000010 [ b0100001 | WR ] NAK, Stop
Start, b01000100 [ b0100010 | WR ] NAK, Stop
Start, b01000110 [ b0100011 | WR ] NAK, Stop
Start, b01001000 [ b0100100 | WR ] NAK, Stop
Start, b01001010 [ b0100101 | WR ] NAK, Stop
Start, b01001100 [ b0100110 | WR ] NAK, Stop
Start, b01001110 [ b0100111 | WR ] NAK, Stop
Start, b01010000 [ b0101000 | WR ] NAK, Stop
Start, b01010010 [ b0101001 | WR ] NAK, Stop
Start, b01010100 [ b0101010 | WR ] NAK, Stop
Start, b01010110 [ b0101011 | WR ] NAK, Stop
Start, b01011000 [ b0101100 | WR ] NAK, Stop
Start, b01011010 [ b0101101 | WR ] NAK, Stop
Start, b01011100 [ b0101110 | WR ] NAK, Stop
Start, b01011110 [ b0101111 | WR ] NAK, Stop
Start, b01100000 [ b0110000 | WR ] NAK, Stop
Start, b01100010 [ b0110001 | WR ] NAK, Stop
Start, b01100100 [ b0110010 | WR ] NAK, Stop
Start, b01100110 [ b0110011 | WR ] NAK, Stop
Start, b01101000 [ b0110100 | WR ] NAK, Stop
Start, b01101010 [ b0110101 | WR ] NAK, Stop
Start, b01101100 [ b0110110 | WR ] NAK, Stop
Start, b01101110 [ b0110111 | WR ] NAK, Stop
Start, b01110000 [ b0111000 | WR ] NAK, Stop
Start, b01110010 [ b0111001 | WR ] NAK, Stop
Start, b01110100 [ b0111010 | WR ] NAK, Stop
Start, b01110110 [ b0111011 | WR ] NAK, Stop
Start, b01111000 [ b0111100 | WR ] NAK, Stop
Start, b01111010 [ b0111101 | WR ] NAK, Stop
Start, b01111100 [ b0111110 | WR ] NAK, Stop
Start, b01111110 [ b0111111 | WR ] NAK, Stop
Start, b10000000 [ b1000000 | WR ] NAK, Stop
Start, b10000010 [ b1000001 | WR ] NAK, Stop
Start, b10000100 [ b1000010 | WR ] NAK, Stop
Start, b10000110 [ b1000011 | WR ] NAK, Stop
Start, b10001000 [ b1000100 | WR ] NAK, Stop
Start, b10001010 [ b1000101 | WR ] NAK, Stop
Start, b10001100 [ b1000110 | WR ] NAK, Stop
Start, b10001110 [ b1000111 | WR ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], Stop
Start, b10010010 [ b1001001 | WR ] NAK, Stop
Start, b10010100 [ b1001010 | WR ] NAK, Stop
Start, b10010110 [ b1001011 | WR ] NAK, Stop
Start, b10011000 [ b1001100 | WR ] NAK, Stop
Start, b10011010 [ b1001101 | WR ] NAK, Stop
Start, b10011100 [ b1001110 | WR ] NAK, Stop
Start, b10011110 [ b1001111 | WR ] NAK, Stop
Start, b10100000 [ b1010000 | WR ] NAK, Stop
Start, b10100010 [ b1010001 | WR ] NAK, Stop
Start, b10100100 [ b1010010 | WR ] NAK, Stop
Start, b10100110 [ b1010011 | WR ] NAK, Stop
Start, b10101000 [ b1010100 | WR ] NAK, Stop
Start, b10101010 [ b1010101 | WR ] NAK, Stop
Start, b10101100 [ b1010110 | WR ] NAK, Stop
Start, b10101110 [ b1010111 | WR ] NAK, Stop
Start, b10110000 [ b1011000 | WR ] NAK, Stop
Start, b10110010 [ b1011001 | WR ] NAK, Stop
Start, b10110100 [ b1011010 | WR ] NAK, Stop
Start, b10110110 [ b1011011 | WR ] NAK, Stop
Start, b10111000 [ b1011100 | WR ] NAK, Stop
Start, b10111010 [ b1011101 | WR ] NAK, Stop
Start, b10111100 [ b1011110 | WR ] NAK, Stop
Start, b10111110 [ b1011111 | WR ] NAK, Stop
Start, b11000000 [ b1100000 | WR ] NAK, Stop
Start, b11000010 [ b1100001 | WR ] NAK, Stop
Start, b11000100 [ b1100010 | WR ] NAK, Stop
Start, b11000110 [ b1100011 | WR ] NAK, Stop
Start, b11001000 [ b1100100 | WR ] NAK, Stop
Start, b11001010 [ b1100101 | WR ] NAK, Stop
Start, b11001100 [ b1100110 | WR ] NAK, Stop
Start, b11001110 [ b1100111 | WR ] NAK, Stop
Start, b11010000 [ b1101000 | WR ] NAK, Stop
Start, b11010010 [ b1101001 | WR ] NAK, Stop
Start, b11010100 [ b1101010 | WR ] NAK, Stop
Start, b11010110 [ b1101011 | WR ] NAK, Stop
Start, b11011000 [ b1101100 | WR ] NAK, Stop
Start, b11011010 [ b1101101 | WR ] NAK, Stop
Start, b11011100 [ b1101110 | WR ] NAK, Stop
Start, b11011110 [ b1101111 | WR ] NAK, Stop
Start, b11100000 [ b1110000 | WR ] NAK, Stop
Start, b11100010 [ b1110001 | WR ] NAK, Stop
Start, b11100100 [ b1110010 | WR ] NAK, Stop
Start, b11100110 [ b1110011 | WR ] NAK, Stop
Start, b11101000 [ b1110100 | WR ] NAK, Stop
Start, b11101010 [ b1110101 | WR ] NAK, Stop
Start, b11101100 [ b1110110 | WR ] NAK, Stop
Start, b11101110 [ b1110111 | WR ] NAK, Stop
Start, b01001000 [ b0100100 | WR ] NAK, Stop
Start, b01001000 [ b0100100 | WR ] NAK, Stop
Start, b01001000 [ b0100100 | WR ] NAK, Stop
Start, b01001000 [ b0100100 | WR ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010001 [ b1001000 | RD ], b11111111 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010011 [ b1001001 | RD ] NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, b10001100 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, b01001001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, 
Restart, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, 
Restart, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, h90 [ h48 | WR ], h8C, 
Restart, h91 [ h48 | RD ], hB1 NAK, Stop
Start, h90 [ h48 | WR ], h8C, 
Restart, h91 [ h48 | RD ], hFF NAK, Stop
Start, h90 [ h48 | WR ], h8C, 
Restart, h91 [ h48 | RD ], hB1 NAK, Stop
Start, h90 [ h48 | WR ], h8C, 
Restart, h91 [ h48 | RD ], hFF NAK, Stop
Start, h90 [ h48 | WR ], h8C, 
Restart, h91 [ h48 | RD ], h57 NAK, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h93 [ h49 | RD ] NAK, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h93 [ h49 | RD ] NAK, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h93 [ h49 | RD ] NAK, Stop
Start, 144 [ 72 | WR ], 140, 
Restart, 145 [ 72 | RD ], 177 NAK, Stop
Start, 144 [ 72 | WR ], 140, 
Restart, 145 [ 72 | RD ], 255 NAK, Stop
Start, 144 [ 72 | WR ], 140, 
Restart, 145 [ 72 | RD ], 82 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, 
Restart, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, 
Restart, b10010001 [ b1001000 | RD ], b11111111 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, 
Restart, b10010001 [ b1001000 | RD ], b01010010 NAK, Stop
